Price,Close,High,Low,Open,Volume,MA21,MA50
Ticker,^NYA,^NYA,^NYA,^NYA,^NYA,,
Date,,,,,,,
2023-03-03,15721.0595703125,15732.7197265625,15524.51953125,15524.51953125,4084730000,15775.08947172619,15656.2015625
2023-03-06,15694.33984375,15772.650390625,15672.1103515625,15721.0595703125,4000870000,15754.697079613095,15670.07595703125
2023-03-07,15439.01953125,15694.33984375,15413.5400390625,15694.33984375,3922500000,15728.012276785714,15674.4653515625
2023-03-08,15440.6396484375,15496.919921875,15367.4599609375,15439.01953125,3535570000,15706.358909970239,15681.6475390625
2023-03-09,15140.7900390625,15497.3896484375,15112.919921875,15440.6396484375,4445260000,15664.414620535714,15680.6943359375
2023-03-10,14894.1796875,15164.1298828125,14830.91015625,15140.7900390625,5518190000,15614.86509486607,15674.212734375
2023-03-13,14764.3701171875,14949.349609375,14645.5498046875,14894.1796875,6558020000,15564.1875,15668.75373046875
2023-03-14,14944.740234375,15044.650390625,14764.3701171875,14764.3701171875,5665870000,15518.189871651786,15662.8243359375
2023-03-15,14662.5498046875,14944.740234375,14471.080078125,14944.740234375,6594010000,15452.013671875,15652.389140625
2023-03-16,14830.98046875,14859.330078125,14506.599609375,14662.5498046875,5695790000,15395.150344122023,15645.91974609375
2023-03-17,14599.0498046875,14830.990234375,14560.3701171875,14830.990234375,9354280000,15327.67224702381,15630.89474609375
2023-03-20,14777.7001953125,14817.2099609375,14599.0498046875,14599.0498046875,5347140000,15275.477957589286,15621.9407421875
2023-03-21,14985.9501953125,15010.580078125,14777.7001953125,14777.7001953125,4920240000,15234.801292782739,15610.86494140625
2023-03-22,14741.080078125,15076.1298828125,14740.1904296875,14985.9501953125,4533010000,15195.208937872023,15595.397734375
2023-03-23,14693.01953125,14937.900390625,14598.3203125,14741.080078125,4991600000,15155.313197544643,15577.0947265625
2023-03-24,14758.5703125,14770.7900390625,14514.5703125,14693.01953125,4583970000,15115.96275111607,15557.2843359375
2023-03-27,14894.849609375,14955.7197265625,14758.5703125,14758.5703125,4233540000,15088.838448660714,15537.99033203125
2023-03-28,14949.349609375,14986.990234375,14892.2001953125,14894.849609375,4014600000,15062.953683035714,15518.609921875
2023-03-29,15123.9599609375,15128.76953125,14949.349609375,14949.349609375,4145250000,15048.429408482143,15503.4179296875
2023-03-30,15200.58984375,15254.759765625,15123.9599609375,15123.9599609375,3930860000,15037.205124627977,15494.44712890625
2023-03-31,15374.91015625,15377.01953125,15200.58984375,15200.58984375,4525120000,15030.080868675595,15490.552734375
2023-04-03,15487.759765625,15514.919921875,15374.91015625,15374.91015625,4234700000,15018.971354166666,15484.75693359375
2023-04-04,15374.1103515625,15510.2802734375,15307.9501953125,15487.75,4227800000,15003.722330729166,15474.63734375
